Mic1,Mic2,Mic3,time
925,1074,1356,2022-05-01T01:16:00
889,976,1152,2022-05-01T01:17:00
963,1165,1074,2022-05-01T01:18:00
896,988,1001,2022-05-01T01:19:00
988,1327,1021,2022-05-01T01:20:00
955,1101,810,2022-05-01T01:21:00
944,1159,992,2022-05-01T01:22:00
843,1093,820,2022-05-01T01:23:00
1070,1373,1031,2022-05-01T01:24:00
983,1168,947,2022-05-01T01:25:00
989,984,1008,2022-05-01T01:26:00
894,1256,995,2022-05-01T01:27:00
953,976,807,2022-05-01T01:28:00
1155,1197,988,2022-05-01T01:29:00
1033,1297,766,2022-05-01T01:30:00
846,1117,1078,2022-05-01T01:31:00
943,1453,833,2022-05-01T01:32:00
808,1051,930,2022-05-01T01:33:00
889,877,1107,2022-05-01T01:34:00
828,1187,1205,2022-05-01T01:35:00
1010,1287,1107,2022-05-01T01:36:00
988,1192,1045,2022-05-01T01:37:00
978,1184,963,2022-05-01T01:38:00
1017,1331,969,2022-05-01T01:39:00
1169,1192,915,2022-05-01T01:40:00
859,1221,1017,2022-05-01T01:41:00
914,1282,855,2022-05-01T01:42:00
1065,1240,1236,2022-05-01T01:43:00
1126,1139,1335,2022-05-01T01:44:00
1132,1150,859,2022-05-01T01:45:00
977,1114,867,2022-05-01T01:46:00
983,1329,1238,2022-05-01T01:47:00
856,991,969,2022-05-01T01:48:00
1052,1221,1101,2022-05-01T01:49:00
964,1334,1187,2022-05-01T01:50:00
874,1033,983,2022-05-01T01:51:00
790,1218,995,2022-05-01T01:52:00
1011,905,1007,2022-05-01T01:53:00
983,1140,1024,2022-05-01T01:54:00
1122,1262,960,2022-05-01T01:55:00
1244,1233,1029,2022-05-01T01:56:00
884,1065,980,2022-05-01T01:57:00
984,1260,1019,2022-05-01T01:58:00
1053,1167,1108,2022-05-01T01:59:00
1253,1159,1020,2022-05-01T02:00:00
941,1172,1104,2022-05-01T02:01:00
968,1333,1135,2022-05-01T02:02:00
1181,1166,1018,2022-05-01T02:03:00
1150,984,952,2022-05-01T02:04:00
1092,1257,1098,2022-05-01T02:05:00
1052,1229,915,2022-05-01T02:06:00
979,1076,953,2022-05-01T02:07:00
1067,1168,1044,2022-05-01T02:08:00
1135,1100,1078,2022-05-01T02:09:00
1102,1619,1199,2022-05-01T02:10:00
1023,1192,1106,2022-05-01T02:11:00
958,1085,1058,2022-05-01T02:12:00
1074,1229,1331,2022-05-01T02:13:00
1039,1667,1240,2022-05-01T02:14:00
1310,1494,1132,2022-05-01T02:15:00
1046,1103,1388,2022-05-01T02:16:00
909,1345,1161,2022-05-01T02:17:00
1070,1654,1096,2022-05-01T02:18:00
1212,1477,979,2022-05-01T02:19:00
1140,1143,872,2022-05-01T02:20:00
966,1344,997,2022-05-01T02:21:00
1022,1416,931,2022-05-01T02:22:00
1130,1863,984,2022-05-01T02:23:00
1083,1322,974,2022-05-01T02:24:00
1241,1029,903,2022-05-01T02:25:00
1221,1232,985,2022-05-01T02:26:00
962,1854,1017,2022-05-01T02:27:00
977,1735,1006,2022-05-01T02:28:00
1165,1473,1155,2022-05-01T02:29:00
1116,1554,965,2022-05-01T02:30:00
1138,1260,998,2022-05-01T02:31:00
1098,1339,1046,2022-05-01T02:32:00
1218,1190,1264,2022-05-01T02:33:00
1165,1510,1203,2022-05-01T02:34:00
1039,1293,1339,2022-05-01T02:35:00
888,1282,1106,2022-05-01T02:36:00
1052,1633,1353,2022-05-01T02:37:00
1033,1726,1045,2022-05-01T02:38:00
1211,1184,1365,2022-05-01T02:39:00
1023,1127,1271,2022-05-01T02:40:00
1099,988,1401,2022-05-01T02:41:00
1104,1481,1036,2022-05-01T02:42:00
1232,1573,1248,2022-05-01T02:43:00
1106,1092,1193,2022-05-01T02:44:00
1072,1289,1039,2022-05-01T02:45:00
1106,1193,1082,2022-05-01T02:46:00
930,1331,1042,2022-05-01T02:47:00
1070,867,927,2022-05-01T02:48:00
1000,1308,1132,2022-05-01T02:49:00
965,1040,1068,2022-05-01T02:50:00
993,1047,950,2022-05-01T02:51:00
1100,1017,995,2022-05-01T02:52:00
1132,1159,1258,2022-05-01T02:53:00
1032,995,992,2022-05-01T02:54:00
986,1240,977,2022-05-01T02:55:00
1004,905,934,2022-05-01T02:56:00
1014,1196,1132,2022-05-01T02:57:00
1143,955,1521,2022-05-01T02:58:00
893,867,1767,2022-05-01T02:59:00
1067,1017,1323,2022-05-01T03:00:00
1048,884,1287,2022-05-01T03:01:00
1026,1287,942,2022-05-01T03:02:00
1180,1084,1289,2022-05-01T03:03:00
1191,1187,1163,2022-05-01T03:04:00
1080,994,1018,2022-05-01T03:05:00
1037,908,1331,2022-05-01T03:06:00
1072,917,1126,2022-05-01T03:07:00
1114,1099,1376,2022-05-01T03:08:00
1056,1088,874,2022-05-01T03:09:00
1050,913,799,2022-05-01T03:10:00
945,940,1069,2022-05-01T03:11:00
1023,1077,1086,2022-05-01T03:12:00
986,1273,1256,2022-05-01T03:13:00
1101,1004,1288,2022-05-01T03:14:00
1098,1065,1452,2022-05-01T03:15:00
1043,973,1809,2022-05-01T03:16:00
928,1101,1658,2022-05-01T03:17:00
1034,979,1302,2022-05-01T03:18:00
976,1347,1312,2022-05-01T03:19:00
1078,871,1825,2022-05-01T03:20:00
1054,871,786,2022-05-01T03:21:00
1177,813,1005,2022-05-01T03:22:00
1044,712,891,2022-05-01T03:23:00
1314,974,1110,2022-05-01T03:24:00
1073,975,785,2022-05-01T03:25:00
1002,820,886,2022-05-01T03:26:00
1028,1053,1090,2022-05-01T03:27:00
974,1107,957,2022-05-01T03:28:00
1139,853,1225,2022-05-01T03:29:00
1006,1163,1200,2022-05-01T03:30:00
1038,1083,992,2022-05-01T03:31:00
1196,1025,1077,2022-05-01T03:32:00
1150,956,1084,2022-05-01T03:33:00
1009,1044,1075,2022-05-01T03:34:00
1036,1077,1182,2022-05-01T03:35:00
1013,1368,1307,2022-05-01T03:36:00
1208,935,1456,2022-05-01T03:37:00
1035,1182,1153,2022-05-01T03:38:00
1204,627,878,2022-05-01T03:39:00
1204,929,853,2022-05-01T03:40:00
1194,1309,1000,2022-05-01T03:41:00
1278,1150,1161,2022-05-01T03:42:00
1080,958,1283,2022-05-01T03:43:00
922,1090,1286,2022-05-01T03:44:00
1314,1093,1462,2022-05-01T03:45:00
978,1187,1477,2022-05-01T03:46:00
1120,1207,1099,2022-05-01T03:47:00
975,1102,1061,2022-05-01T03:48:00
1158,1820,982,2022-05-01T03:49:00
1112,1485,1170,2022-05-01T03:50:00
1001,1405,1007,2022-05-01T03:51:00
1297,1118,1034,2022-05-01T03:52:00
968,1387,1026,2022-05-01T03:53:00
923,1660,1308,2022-05-01T03:54:00
1101,2003,1080,2022-05-01T03:55:00
918,1493,1371,2022-05-01T03:56:00
1159,1475,1253,2022-05-01T03:57:00
924,1759,1190,2022-05-01T03:58:00
1040,1479,1274,2022-05-01T03:59:00
1272,1161,978,2022-05-01T04:00:00
1166,1791,1148,2022-05-01T04:01:00
1118,1670,1045,2022-05-01T04:02:00
1067,1833,1182,2022-05-01T04:03:00
1037,1243,1154,2022-05-01T04:04:00
1062,1504,1203,2022-05-01T04:05:00
1015,1640,1317,2022-05-01T04:06:00
1026,1862,1638,2022-05-01T04:07:00
947,1960,1541,2022-05-01T04:08:00
1184,1909,1608,2022-05-01T04:09:00
1006,1559,1453,2022-05-01T04:10:00
1170,1395,1471,2022-05-01T04:11:00
1057,1217,1490,2022-05-01T04:12:00
1068,1185,1434,2022-05-01T04:13:00
952,1144,1386,2022-05-01T04:14:00
984,1278,1442,2022-05-01T04:15:00
1214,996,1188,2022-05-01T04:16:00
1010,1164,1258,2022-05-01T04:17:00
929,1170,1379,2022-05-01T04:18:00
1056,1115,1138,2022-05-01T04:19:00
1218,1423,1203,2022-05-01T04:20:00
1145,1039,1235,2022-05-01T04:21:00
1002,1174,1166,2022-05-01T04:22:00
1193,1189,1229,2022-05-01T04:23:00
999,1116,1070,2022-05-01T04:24:00
987,1083,1270,2022-05-01T04:25:00
1128,1079,970,2022-05-01T04:26:00
1042,828,1302,2022-05-01T04:27:00
1082,1032,1235,2022-05-01T04:28:00
1014,1124,1128,2022-05-01T04:29:00
1056,1255,1248,2022-05-01T04:30:00
1114,1088,1307,2022-05-01T04:31:00
1079,1199,1089,2022-05-01T04:32:00
1108,1290,975,2022-05-01T04:33:00
1344,1115,883,2022-05-01T04:34:00
1240,938,954,2022-05-01T04:35:00
1080,1306,1136,2022-05-01T04:36:00
1153,1122,1055,2022-05-01T04:37:00
1285,1111,1077,2022-05-01T04:38:00
1226,1006,944,2022-05-01T04:39:00
951,942,1234,2022-05-01T04:40:00
1175,1143,1216,2022-05-01T04:41:00
1044,1219,1225,2022-05-01T04:42:00
1039,1009,1103,2022-05-01T04:43:00
1207,1210,1361,2022-05-01T04:44:00
1161,912,1023,2022-05-01T04:45:00
1101,1041,1041,2022-05-01T04:46:00
1129,1119,1079,2022-05-01T04:47:00
1134,1282,1129,2022-05-01T04:48:00
1187,1276,1087,2022-05-01T04:49:00
1152,1348,1027,2022-05-01T04:50:00
1112,1051,1098,2022-05-01T04:51:00
1040,1089,1058,2022-05-01T04:52:00
1148,1240,1129,2022-05-01T04:53:00
1074,1266,998,2022-05-01T04:54:00
1118,1228,1052,2022-05-01T04:55:00
970,1082,1013,2022-05-01T04:56:00
1098,1143,1097,2022-05-01T04:57:00
1021,1153,810,2022-05-01T04:58:00
1245,958,1101,2022-05-01T04:59:00
1139,1272,911,2022-05-01T05:00:00
1080,1047,1094,2022-05-01T05:01:00
1062,1009,1294,2022-05-01T05:02:00
1122,1046,1090,2022-05-01T05:03:00
1116,1269,998,2022-05-01T05:04:00
1104,1244,1043,2022-05-01T05:05:00
1146,1030,1041,2022-05-01T05:06:00
1174,1099,1040,2022-05-01T05:07:00
1103,1128,1155,2022-05-01T05:08:00
1246,1184,1218,2022-05-01T05:09:00
991,1419,1303,2022-05-01T05:10:00
1238,1108,1208,2022-05-01T05:11:00
973,1171,947,2022-05-01T05:12:00
1080,1175,1391,2022-05-01T05:13:00
1267,1037,1156,2022-05-01T05:14:00
1126,1186,1063,2022-05-01T05:15:00
1240,1162,1123,2022-05-01T05:16:00
1250,1244,1109,2022-05-01T05:17:00
1116,1337,1327,2022-05-01T05:18:00
1122,1178,1266,2022-05-01T05:19:00
1163,1151,1045,2022-05-01T05:20:00
1381,1401,1139,2022-05-01T05:21:00
984,1145,1077,2022-05-01T05:22:00
1173,1172,1203,2022-05-01T05:23:00
992,1120,927,2022-05-01T05:24:00
1080,1016,1080,2022-05-01T05:25:00
1130,1198,1197,2022-05-01T05:26:00
1086,1273,902,2022-05-01T05:27:00
1304,1160,972,2022-05-01T05:28:00
1214,1375,2909,2022-05-01T05:29:00
1012,953,2256,2022-05-01T05:30:00
1094,1044,2099,2022-05-01T05:31:00
1124,1026,1969,2022-05-01T05:32:00
1163,1138,2280,2022-05-01T05:33:00
1091,1400,2246,2022-05-01T05:34:00
1104,1312,2578,2022-05-01T05:35:00
1100,1009,1901,2022-05-01T05:36:00
1264,1116,1707,2022-05-01T05:37:00
1053,1354,1910,2022-05-01T05:38:00
1072,1490,1941,2022-05-01T05:39:00
1090,1091,1601,2022-05-01T05:40:00
1008,1193,1854,2022-05-01T05:41:00
1208,1147,2081,2022-05-01T05:42:00
1022,1369,1719,2022-05-01T05:43:00
1135,931,1678,2022-05-01T05:44:00
1155,1301,1451,2022-05-01T05:45:00
1177,1185,1690,2022-05-01T05:46:00
1205,1414,1586,2022-05-01T05:47:00
1164,1318,1549,2022-05-01T05:48:00
916,1103,1480,2022-05-01T05:49:00
1171,1198,1560,2022-05-01T05:50:00
1230,1557,1508,2022-05-01T05:51:00
1112,1414,1391,2022-05-01T05:52:00
1127,1577,1289,2022-05-01T05:53:00
1153,1072,1323,2022-05-01T05:54:00
1159,1286,1636,2022-05-01T05:55:00
1052,1313,1366,2022-05-01T05:56:00
1141,1062,1486,2022-05-01T05:57:00
977,1416,1666,2022-05-01T05:58:00
1019,1267,1255,2022-05-01T05:59:00
1287,901,1791,2022-05-01T06:00:00
1285,1216,1545,2022-05-01T06:01:00
1084,1272,1392,2022-05-01T06:02:00
1148,1136,1508,2022-05-01T06:03:00
1071,1271,1319,2022-05-01T06:04:00
1191,973,1057,2022-05-01T06:05:00
1128,1028,1419,2022-05-01T06:06:00
1261,1340,1357,2022-05-01T06:07:00
1087,1092,1216,2022-05-01T06:08:00
1186,900,1283,2022-05-01T06:09:00
1013,1149,1717,2022-05-01T06:10:00
1016,1343,1565,2022-05-01T06:11:00
959,1163,1358,2022-05-01T06:12:00
1119,1228,1783,2022-05-01T06:13:00
1021,970,2151,2022-05-01T06:14:00
1008,1115,1888,2022-05-01T06:15:00
924,1203,1663,2022-05-01T06:16:00
1063,1409,1576,2022-05-01T06:17:00
1042,1294,1400,2022-05-01T06:18:00
1176,1263,1271,2022-05-01T06:19:00
1112,1262,1374,2022-05-01T06:20:00
1043,1364,1397,2022-05-01T06:21:00
977,1273,1284,2022-05-01T06:22:00
986,1206,1305,2022-05-01T06:23:00
1113,1548,1388,2022-05-01T06:24:00
1184,988,1462,2022-05-01T06:25:00
1189,1212,1250,2022-05-01T06:26:00
1090,1057,1151,2022-05-01T06:27:00
1113,1189,1394,2022-05-01T06:28:00
1230,1317,1022,2022-05-01T06:29:00
1016,1260,1890,2022-05-01T06:30:00
1130,1138,1457,2022-05-01T06:31:00
1080,1458,1559,2022-05-01T06:32:00
1058,1091,1813,2022-05-01T06:33:00
1103,1409,1169,2022-05-01T06:34:00
1126,1094,1399,2022-05-01T06:35:00
1204,1132,2118,2022-05-01T06:36:00
1011,1050,1256,2022-05-01T06:37:00
1031,1536,1430,2022-05-01T06:38:00
1207,951,1365,2022-05-01T06:39:00
979,1188,955,2022-05-01T06:40:00
894,1105,1663,2022-05-01T06:41:00
1228,1270,1940,2022-05-01T06:42:00
1045,1106,1510,2022-05-01T06:43:00
1095,1044,1562,2022-05-01T06:44:00
1191,1185,1356,2022-05-01T06:45:00
1206,1058,1434,2022-05-01T06:46:00
1070,1266,1691,2022-05-01T06:47:00
1198,1087,1548,2022-05-01T06:48:00
1166,1153,1603,2022-05-01T06:49:00
859,1233,1676,2022-05-01T06:50:00
1065,1106,2049,2022-05-01T06:51:00
1171,1160,1387,2022-05-01T06:52:00
1078,1057,1721,2022-05-01T06:53:00
1132,997,1566,2022-05-01T06:54:00
932,971,1318,2022-05-01T06:55:00
1049,1446,1531,2022-05-01T06:56:00
1275,1569,1491,2022-05-01T06:57:00
1056,976,1127,2022-05-01T06:58:00
1136,1045,1470,2022-05-01T06:59:00
1098,1331,1397,2022-05-01T07:00:00
1168,1256,1568,2022-05-01T07:01:00
1122,1127,1431,2022-05-01T07:02:00
1077,1042,1347,2022-05-01T07:03:00
1177,1346,1426,2022-05-01T07:04:00
838,1037,1341,2022-05-01T07:05:00
1126,1320,1494,2022-05-01T07:06:00
1035,1392,1209,2022-05-01T07:07:00
1134,1270,1938,2022-05-01T07:08:00
1263,930,1287,2022-05-01T07:09:00
1002,1111,1593,2022-05-01T07:10:00
1107,1154,1783,2022-05-01T07:11:00
978,1366,1537,2022-05-01T07:12:00
1252,1382,2017,2022-05-01T07:13:00
1182,1046,2218,2022-05-01T07:14:00
1057,1196,1645,2022-05-01T07:15:00
1040,1331,2365,2022-05-01T07:16:00
1427,1253,2043,2022-05-01T07:17:00
1164,1276,1780,2022-05-01T07:18:00
1278,1230,2874,2022-05-01T07:19:00
1096,1180,2155,2022-05-01T07:20:00
964,1256,2220,2022-05-01T07:21:00
1184,1096,2273,2022-05-01T07:22:00
1052,1221,2725,2022-05-01T07:23:00
992,1324,2940,2022-05-01T07:24:00
1078,1087,2205,2022-05-01T07:25:00
1117,966,2770,2022-05-01T07:26:00
1238,1092,2469,2022-05-01T07:27:00
1130,1356,2595,2022-05-01T07:28:00
1012,1438,2072,2022-05-01T07:29:00
925,1116,2460,2022-05-01T07:30:00
1189,1077,2426,2022-05-01T07:31:00
1003,1182,2291,2022-05-01T07:32:00
1055,1049,2647,2022-05-01T07:33:00
989,1384,2373,2022-05-01T07:34:00
1068,1179,2160,2022-05-01T07:35:00
1303,1399,2491,2022-05-01T07:36:00
1385,1102,2987,2022-05-01T07:37:00
1302,1100,2230,2022-05-01T07:38:00
1133,1368,2624,2022-05-01T07:39:00
1090,1151,2624,2022-05-01T07:40:00
1270,1328,2656,2022-05-01T07:41:00
1246,1140,2303,2022-05-01T07:42:00
1190,1206,2296,2022-05-01T07:43:00
1062,1269,2254,2022-05-01T07:44:00
1093,1310,2927,2022-05-01T07:45:00
1020,1252,2625,2022-05-01T07:46:00
1183,1420,2577,2022-05-01T07:47:00
1097,1049,2070,2022-05-01T07:48:00
926,1087,1850,2022-05-01T07:49:00
1170,974,2339,2022-05-01T07:50:00
1028,1633,2384,2022-05-01T07:51:00
1016,1076,2302,2022-05-01T07:52:00
984,1340,3473,2022-05-01T07:53:00
1073,1237,2612,2022-05-01T07:54:00
1268,929,2153,2022-05-01T07:55:00
1088,1191,2557,2022-05-01T07:56:00
1041,996,2704,2022-05-01T07:57:00
1003,1137,2751,2022-05-01T07:58:00
1113,1244,2321,2022-05-01T07:59:00
982,1000,2564,2022-05-01T08:00:00
1006,1073,2890,2022-05-01T08:01:00
1271,1213,2463,2022-05-01T08:02:00
1147,1381,2375,2022-05-01T08:03:00
1336,940,2304,2022-05-01T08:04:00
1378,954,2122,2022-05-01T08:05:00
1149,1034,2030,2022-05-01T08:06:00
1029,1302,1917,2022-05-01T08:07:00
1101,1221,2786,2022-05-01T08:08:00
1095,1001,3055,2022-05-01T08:09:00
1179,1246,2835,2022-05-01T08:10:00
1270,1098,2893,2022-05-01T08:11:00
1015,1313,2495,2022-05-01T08:12:00
948,1365,1989,2022-05-01T08:13:00
1169,1560,1845,2022-05-01T08:14:00
1307,1073,1630,2022-05-01T08:15:00
858,1094,1965,2022-05-01T08:16:00
1047,1163,2728,2022-05-01T08:17:00
994,1466,2173,2022-05-01T08:18:00
1187,1330,2146,2022-05-01T08:19:00
1097,1209,2503,2022-05-01T08:20:00
1031,1633,2399,2022-05-01T08:21:00
1105,1429,1603,2022-05-01T08:22:00
1065,1287,1682,2022-05-01T08:23:00
1137,1238,3319,2022-05-01T08:24:00
1193,1609,1836,2022-05-01T08:25:00
1164,1192,1860,2022-05-01T08:26:00
1178,1065,2198,2022-05-01T08:27:00
1115,1074,2297,2022-05-01T08:28:00
1044,970,2075,2022-05-01T08:29:00
980,1001,1801,2022-05-01T08:30:00
1187,1242,2039,2022-05-01T08:31:00
1017,1158,1922,2022-05-01T08:32:00
1225,1375,3305,2022-05-01T08:33:00
1088,1177,1992,2022-05-01T08:34:00
1048,1176,3400,2022-05-01T08:35:00
1128,1206,3695,2022-05-01T08:36:00
905,857,2609,2022-05-01T08:37:00
954,930,3361,2022-05-01T08:38:00
1216,1087,2942,2022-05-01T08:39:00
1111,1133,3407,2022-05-01T08:40:00
930,1218,3031,2022-05-01T08:41:00
1460,1052,1944,2022-05-01T08:42:00
1061,1326,2187,2022-05-01T08:43:00
1004,1164,1863,2022-05-01T08:44:00
990,1232,2358,2022-05-01T08:45:00
998,1139,1657,2022-05-01T08:46:00
1087,1042,1618,2022-05-01T08:47:00
1010,1107,2061,2022-05-01T08:48:00
1066,1282,2092,2022-05-01T08:49:00
1072,1491,1796,2022-05-01T08:50:00
1113,1267,2054,2022-05-01T08:51:00
1049,1269,1677,2022-05-01T08:52:00
1191,1355,1713,2022-05-01T08:53:00
1109,1358,1764,2022-05-01T08:54:00
1162,1229,1501,2022-05-01T08:55:00
1178,1318,1619,2022-05-01T08:56:00
1140,1292,1937,2022-05-01T08:57:00
1015,1380,1627,2022-05-01T08:58:00
898,1437,1630,2022-05-01T08:59:00
929,1281,1643,2022-05-01T09:00:00
1034,1372,1513,2022-05-01T09:01:00
1115,1275,1222,2022-05-01T09:02:00
1206,1149,1403,2022-05-01T09:03:00
967,1254,1407,2022-05-01T09:04:00
1325,1517,1762,2022-05-01T09:05:00
1083,867,1629,2022-05-01T09:06:00
1085,1431,1500,2022-05-01T09:07:00
1086,1060,1471,2022-05-01T09:08:00
1060,1125,1368,2022-05-01T09:09:00
991,1378,1253,2022-05-01T09:10:00
1089,1137,1963,2022-05-01T09:11:00
1074,1469,1919,2022-05-01T09:12:00
1072,1217,1561,2022-05-01T09:13:00
1163,1258,1563,2022-05-01T09:14:00
1165,1329,1459,2022-05-01T09:15:00
1133,1069,1819,2022-05-01T09:16:00
1294,1040,1245,2022-05-01T09:17:00
942,1225,1823,2022-05-01T09:18:00
1224,1282,1538,2022-05-01T09:19:00
1206,1263,1475,2022-05-01T09:20:00
1046,1204,1615,2022-05-01T09:21:00
1056,1525,1455,2022-05-01T09:22:00
1094,1133,1427,2022-05-01T09:23:00
1072,1582,1671,2022-05-01T09:24:00
1166,1287,1694,2022-05-01T09:25:00
1090,1212,1626,2022-05-01T09:26:00
1108,1197,1495,2022-05-01T09:27:00
1040,1380,1493,2022-05-01T09:28:00
1166,1531,1911,2022-05-01T09:29:00
972,1405,1792,2022-05-01T09:30:00
1108,1285,1790,2022-05-01T09:31:00
1236,1184,2154,2022-05-01T09:32:00
1108,1423,2227,2022-05-01T09:33:00
1168,1464,1369,2022-05-01T09:34:00
961,1366,1569,2022-05-01T09:35:00
1090,1109,1584,2022-05-01T09:36:00
1093,1429,1719,2022-05-01T09:37:00
1226,1361,1583,2022-05-01T09:38:00
1087,1707,1654,2022-05-01T09:39:00
1149,1547,1923,2022-05-01T09:40:00
1182,1792,1455,2022-05-01T09:41:00
1110,1861,1945,2022-05-01T09:42:00
1060,1489,1581,2022-05-01T09:43:00
925,1601,1318,2022-05-01T09:44:00
870,1486,1491,2022-05-01T09:45:00
1098,1581,2834,2022-05-01T09:46:00
1084,1452,1566,2022-05-01T09:47:00
1156,1335,1431,2022-05-01T09:48:00
1171,1174,1559,2022-05-01T09:49:00
959,1709,1279,2022-05-01T09:50:00
1124,1725,1319,2022-05-01T09:51:00
1126,1200,1300,2022-05-01T09:52:00
1089,1459,1804,2022-05-01T09:53:00
1158,1323,2905,2022-05-01T09:54:00
1181,1308,2196,2022-05-01T09:55:00
1011,1701,1843,2022-05-01T09:56:00
1158,1223,3024,2022-05-01T09:57:00
1209,1355,3334,2022-05-01T09:58:00
1266,1218,3101,2022-05-01T09:59:00
1153,1638,2113,2022-05-01T10:00:00
1026,1708,1766,2022-05-01T10:01:00
1061,1378,1684,2022-05-01T10:02:00
1206,1357,2518,2022-05-01T10:03:00
992,1183,2102,2022-05-01T10:04:00
1107,1722,1844,2022-05-01T10:05:00
1213,2015,1745,2022-05-01T10:06:00
1091,1509,1815,2022-05-01T10:07:00
968,1597,2686,2022-05-01T10:08:00
931,1356,1699,2022-05-01T10:09:00
1017,1260,1783,2022-05-01T10:10:00
1143,1819,1527,2022-05-01T10:11:00
1072,1906,1381,2022-05-01T10:12:00
1192,1517,1634,2022-05-01T10:13:00
1144,1485,1294,2022-05-01T10:14:00
1192,1468,1377,2022-05-01T10:15:00
1098,1462,1285,2022-05-01T10:16:00
1018,1317,1643,2022-05-01T10:17:00
1074,1293,1950,2022-05-01T10:18:00
1201,1368,1316,2022-05-01T10:19:00
1191,1453,2249,2022-05-01T10:20:00
1097,1246,1547,2022-05-01T10:21:00
1102,1383,1326,2022-05-01T10:22:00
1115,1276,1250,2022-05-01T10:23:00
1077,1467,1710,2022-05-01T10:24:00
1117,1324,1532,2022-05-01T10:25:00
1003,1247,1868,2022-05-01T10:26:00
1169,1192,1744,2022-05-01T10:27:00
982,1401,1348,2022-05-01T10:28:00
1188,1220,1718,2022-05-01T10:29:00
1121,1295,1314,2022-05-01T10:30:00
1175,1247,1696,2022-05-01T10:31:00
1184,1119,1363,2022-05-01T10:32:00
1142,1221,1223,2022-05-01T10:33:00
1161,1326,1367,2022-05-01T10:34:00
1052,1367,1275,2022-05-01T10:35:00
1004,1259,1345,2022-05-01T10:36:00
1068,1212,1527,2022-05-01T10:37:00
976,1381,1710,2022-05-01T10:38:00
1148,1214,1209,2022-05-01T10:39:00
1048,1219,1417,2022-05-01T10:40:00
1040,1202,1581,2022-05-01T10:41:00
1170,1363,1198,2022-05-01T10:42:00
1144,1350,1249,2022-05-01T10:43:00
1150,1136,1348,2022-05-01T10:44:00
1131,1081,2276,2022-05-01T10:45:00
1138,1076,2949,2022-05-01T10:46:00
1084,1166,2111,2022-05-01T10:47:00
